emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,sem_shift_band_-3
self-confident,Positive/Joy,-0.001152,-0.000983,-0.002856,-0.006055,-0.009908,-0.000169,-0.001873,-0.005072,-0.008925,0.001027
dumbstruck,Surprise/Confusion,0.00421,0.005601,0.002633,-0.002208,-0.003462,-0.001391,-0.002968,-0.007808,-0.009062,0.000865
vibrant,Positive/Joy,-0.026648,-0.032256,-0.036247,-0.040102,-0.041527,0.005609,-0.003991,-0.007846,-0.009271,0.001096
cheerful,Positive/Joy,-0.031609,-0.038288,-0.041928,-0.045562,-0.047703,0.00668,-0.003639,-0.007273,-0.009415,0.00107
paranoid,Suspicion,0.001998,0.000531,-0.004837,-0.00705,-0.008943,0.001467,-0.005368,-0.00758,-0.009474,0.001009
invigorated,Positive/Joy,0.000455,-0.006191,-0.011787,-0.016744,-0.016086,0.006646,-0.005596,-0.010553,-0.009896,0.001139
alert,Alertness,0.003379,-0.002484,-0.008949,-0.01232,-0.012413,0.005863,-0.006465,-0.009836,-0.009929,0.001032
satisfied,Positive/Joy,0.027011,0.021468,0.017029,0.011058,0.011421,0.005543,-0.004439,-0.010411,-0.010047,0.001177
happy,Positive/Joy,-0.03706,-0.044992,-0.050253,-0.055862,-0.055565,0.007932,-0.005261,-0.01087,-0.010573,0.001193
perplexed,Surprise/Confusion,-0.014239,-0.01465,-0.018872,-0.024742,-0.025693,0.000411,-0.004222,-0.010092,-0.011044,0.000849
energized,Positive/Joy,-0.018208,-0.024254,-0.029463,-0.034892,-0.035763,0.006047,-0.005208,-0.010637,-0.011508,0.001072
surprised,Surprise/Confusion,-0.016904,-0.016428,-0.020897,-0.026727,-0.02795,-0.000476,-0.00447,-0.0103,-0.011523,0.000929
skeptical,Suspicion,-0.012978,-0.010363,-0.013202,-0.01958,-0.021964,-0.002616,-0.002839,-0.009218,-0.011601,0.00116
blissful,Positive/Joy,-0.012555,-0.019776,-0.025183,-0.030393,-0.031681,0.007221,-0.005406,-0.010617,-0.011905,0.001091
astonished,Surprise/Confusion,-0.005807,-0.00465,-0.009473,-0.015861,-0.016589,-0.001157,-0.004823,-0.011212,-0.011939,0.000896
smug,Positive/Joy,0.002692,0.005141,0.002834,-0.003698,-0.007272,-0.002448,-0.002306,-0.008838,-0.012413,0.001288
optimistic,Positive/Joy,-0.013637,-0.022878,-0.029226,-0.035505,-0.035344,0.009241,-0.006348,-0.012626,-0.012466,0.001103
proud,Positive/Joy,-0.002586,-0.005768,-0.011206,-0.018229,-0.018465,0.003181,-0.005438,-0.012461,-0.012697,0.001043
stimulated,Alertness,-0.002048,-0.006403,-0.013557,-0.019735,-0.020218,0.004355,-0.007154,-0.013331,-0.013814,0.001256
playful,Positive/Joy,-0.041809,-0.043547,-0.047539,-0.055435,-0.057431,0.001739,-0.003992,-0.011887,-0.013884,0.001201
pleased,Positive/Joy,-0.007577,-0.014612,-0.020956,-0.029357,-0.02853,0.007035,-0.006344,-0.014744,-0.013917,0.001295
joyful,Positive/Joy,-0.035337,-0.043022,-0.049534,-0.05649,-0.05699,0.007685,-0.006513,-0.013468,-0.013968,0.00123
triumphant,Positive/Joy,0.01359,0.010275,0.003675,-0.003656,-0.003901,0.003315,-0.0066,-0.013931,-0.014175,0.0011
awestruck,Surprise/Confusion,0.008752,0.004887,-0.002474,-0.010667,-0.009554,0.003865,-0.007361,-0.015554,-0.014442,0.00114
infatuated,Compassion,0.022942,0.016864,0.009509,0.002045,0.002201,0.006077,-0.007355,-0.014819,-0.014663,0.001298
eager,Positive/Joy,-0.024706,-0.034755,-0.042331,-0.049744,-0.049824,0.010049,-0.007576,-0.014989,-0.015069,0.001367
enthusiastic,Positive/Joy,-0.041298,-0.049593,-0.05692,-0.064778,-0.064864,0.008296,-0.007326,-0.015184,-0.015271,0.001246
exuberant,Positive/Joy,-0.03018,-0.037444,-0.0441,-0.051605,-0.053537,0.007265,-0.006656,-0.014161,-0.016093,0.001252
mystified,Surprise/Confusion,-0.002998,-0.004221,-0.011032,-0.018357,-0.020319,0.001223,-0.006811,-0.014136,-0.016098,0.001006
jubilant,Positive/Joy,-0.029012,-0.036288,-0.043453,-0.051517,-0.052436,0.007276,-0.007166,-0.01523,-0.016149,0.001222
puzzled,Surprise/Confusion,-0.00184,-0.003271,-0.010045,-0.017379,-0.019479,0.001431,-0.006774,-0.014108,-0.016208,0.000968
delighted,Positive/Joy,-0.020029,-0.02743,-0.035136,-0.044237,-0.043959,0.007401,-0.007706,-0.016807,-0.016528,0.001376
ecstatic,Positive/Joy,-0.018128,-0.025085,-0.032946,-0.042017,-0.042413,0.006957,-0.007861,-0.016932,-0.017328,0.00127
elated,Positive/Joy,-0.02416,-0.030957,-0.038843,-0.047845,-0.048294,0.006797,-0.007886,-0.016889,-0.017337,0.001304
excited,Positive/Joy,-0.03173,-0.040988,-0.049094,-0.05785,-0.058495,0.009258,-0.008106,-0.016862,-0.017507,0.001336
thrilled,Positive/Joy,-0.027544,-0.034571,-0.042475,-0.052345,-0.052868,0.007027,-0.007904,-0.017774,-0.018297,0.001347
euphoric,Positive/Joy,-0.016969,-0.023399,-0.031688,-0.04072,-0.042847,0.006429,-0.008289,-0.017322,-0.019448,0.001301
amused,Positive/Joy,-0.036435,-0.036358,-0.041967,-0.053849,-0.056777,-7.6e-05,-0.005609,-0.017491,-0.020418,0.00148
amazed,Surprise/Confusion,0.002821,-0.000312,-0.010657,-0.023179,-0.024008,0.003133,-0.010344,-0.022867,-0.023696,0.00138
