emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
enthusiastic,Positive/Joy,-0.105142,-0.104028,-0.109586,-0.114054,-0.111988,-0.112643,-0.001114,-0.005558,-0.010026,-0.00796,-0.008615,0.001148
dependent,Shame/Guilt,-0.0677,-0.070107,-0.073232,-0.07659,-0.078798,-0.076111,0.002407,-0.003125,-0.006483,-0.00869,-0.006003,0.000859
satisfied,Positive/Joy,-0.052842,-0.058072,-0.061166,-0.062031,-0.067604,-0.062681,0.00523,-0.003094,-0.003959,-0.009532,-0.004609,0.001099
rejuvenated,Positive/Joy,0.059342,0.05546,0.051314,0.048697,0.045736,0.048879,0.003882,-0.004147,-0.006764,-0.009724,-0.006582,0.000907
at ease,Calm/Serenity,-0.037734,-0.040857,-0.042315,-0.047344,-0.0507,-0.046634,0.003123,-0.001458,-0.006487,-0.009843,-0.005777,0.001227
happy,Positive/Joy,-0.086683,-0.088041,-0.092352,-0.09523,-0.097982,-0.094952,0.001358,-0.004312,-0.007189,-0.009941,-0.006911,0.000901
hope,Positive/Joy,0.028431,0.022901,0.019253,0.01698,0.012662,0.016868,0.005529,-0.003649,-0.005921,-0.010239,-0.006033,0.000991
elated,Positive/Joy,-0.073675,-0.075132,-0.079271,-0.082965,-0.08541,-0.082441,0.001457,-0.004139,-0.007834,-0.010279,-0.007309,0.000997
peaceful,Calm/Serenity,0.077513,0.071848,0.065747,0.064848,0.060828,0.064446,0.005665,-0.006101,-0.007,-0.01102,-0.007402,0.001054
serene,Calm/Serenity,0.070058,0.064691,0.059573,0.055759,0.053558,0.056351,0.005367,-0.005118,-0.008932,-0.011133,-0.00834,0.000936
refreshed,Positive/Joy,-0.04456,-0.047706,-0.053177,-0.056293,-0.060499,-0.056182,0.003146,-0.005471,-0.008587,-0.012793,-0.008476,0.001108
content,Calm/Serenity,-0.1171,-0.122491,-0.127335,-0.130198,-0.136251,-0.130434,0.005391,-0.004843,-0.007707,-0.01376,-0.007943,0.001097
